Run,gene_set,gene_type,median_r,q25,q75,n
ZeroShot,Top 20,SVG,0.57852996739837526,0.50661850057681557,0.61577024524231272,20
ROI_0.5mm,Top 20,SVG,0.58897525256902039,0.48821542454233224,0.61054007184962811,20
ROI_1.0mm,Top 20,SVG,0.67841484952335129,0.60757761351336881,0.71658711417975895,20
ROI_1.5mm,Top 20,SVG,0.69747466778340983,0.62913736591191771,0.73223973473889892,20
ROI_2.0mm,Top 20,SVG,0.70038979856593175,0.63189823193261219,0.73759098900748654,20
ROI_2.5mm,Top 20,SVG,0.70114994279384746,0.63533352307225366,0.7396182503856239,20
ROI_3.0mm,Top 20,SVG,0.70358100354052577,0.63784195528348098,0.74230252371279626,20
ROI_3.5mm,Top 20,SVG,0.70773952623073511,0.64254954853895241,0.74725278468920253,20
ZeroShot,Top 50,SVG,0.50178398589794537,0.40156426558325764,0.58138554089617722,50
ROI_0.5mm,Top 50,SVG,0.50484115876313562,0.39401991125174324,0.5864063653724485,50
ROI_1.0mm,Top 50,SVG,0.57098927010833656,0.46326570673140005,0.67180743134891385,50
ROI_1.5mm,Top 50,SVG,0.60463611087713043,0.49651284553847436,0.69348667606269054,50
ROI_2.0mm,Top 50,SVG,0.6064699084253844,0.51747262873065769,0.69329504666440456,50
ROI_2.5mm,Top 50,SVG,0.60939845487615407,0.51829691926510846,0.69446334001422294,50
ROI_3.0mm,Top 50,SVG,0.60996078190465441,0.52185039939186117,0.6966711376474819,50
ROI_3.5mm,Top 50,SVG,0.61542265062668478,0.52506733311667431,0.70104891958378268,50
ZeroShot,Top 20,Non-SVG,0.032215057673472498,0.018678674498730351,0.069493805625116478,20
ROI_0.5mm,Top 20,Non-SVG,0.02954234800803545,0.018788216882965527,0.047376589066274601,20
ROI_1.0mm,Top 20,Non-SVG,0.035566633886965404,0.017438560115896975,0.053783851280591523,20
ROI_1.5mm,Top 20,Non-SVG,0.050846842666455401,0.028615956482106974,0.062810845428345294,20
ROI_2.0mm,Top 20,Non-SVG,0.0550604207922505,0.037093016296872949,0.071710197778996995,20
ROI_2.5mm,Top 20,Non-SVG,0.063032858127007499,0.039973673626374023,0.080383068738445626,20
ROI_3.0mm,Top 20,Non-SVG,0.070214674858248061,0.044402699500964204,0.08458906895721971,20
ROI_3.5mm,Top 20,Non-SVG,0.0740390388410051,0.043762328186188526,0.08724545664594692,20
ZeroShot,Top 50,Non-SVG,0.067403815635384862,0.02677546833389725,0.0992439354090002,50
ROI_0.5mm,Top 50,Non-SVG,0.060586297146668099,0.02733764757721175,0.097624983621262248,50
ROI_1.0mm,Top 50,Non-SVG,0.070238821218420996,0.032426061564359572,0.10101903962659217,50
ROI_1.5mm,Top 50,Non-SVG,0.079294336691171308,0.038585295695716448,0.11267049922955957,50
ROI_2.0mm,Top 50,Non-SVG,0.088138163761632443,0.042648898121763923,0.13062113205229869,50
ROI_2.5mm,Top 50,Non-SVG,0.091760178378571894,0.052315643164439471,0.13438684742507234,50
ROI_3.0mm,Top 50,Non-SVG,0.093947130368455756,0.056259906607815401,0.13731762965519129,50
ROI_3.5mm,Top 50,Non-SVG,0.099300733358117593,0.065913969573236808,0.13953799059068589,50
