pathway,n,pearson_r,spearman_rho,method,label
HALLMARK_ESTROGEN_RESPONSE_EARLY,1941,0.57641141272794305,0.553990155124641,roi0p5mm,ER early
HALLMARK_ESTROGEN_RESPONSE_LATE,1941,0.47574649334647401,0.47961618401628597,roi0p5mm,ER late
HALLMARK_ESTROGEN_RESPONSE_EARLY,1941,0.62454953434370297,0.596105459903987,roi1p0mm,ER early
HALLMARK_ESTROGEN_RESPONSE_LATE,1941,0.47268118175139101,0.46725998006045799,roi1p0mm,ER late
HALLMARK_ESTROGEN_RESPONSE_EARLY,1941,0.64624586582419097,0.61536349615305697,roi1p5mm,ER early
HALLMARK_ESTROGEN_RESPONSE_LATE,1941,0.46053935266072898,0.45320251001637302,roi1p5mm,ER late
HALLMARK_ESTROGEN_RESPONSE_EARLY,1941,0.65027060613890697,0.61852095254983896,roi2p0mm,ER early
HALLMARK_ESTROGEN_RESPONSE_LATE,1941,0.48047373029221202,0.47130699420280903,roi2p0mm,ER late
HALLMARK_ESTROGEN_RESPONSE_EARLY,1941,0.64519298512905299,0.61305972045755397,roi2p5mm,ER early
HALLMARK_ESTROGEN_RESPONSE_LATE,1941,0.46643586083073202,0.45827498322062499,roi2p5mm,ER late
HALLMARK_ESTROGEN_RESPONSE_EARLY,1941,0.63924984876278101,0.61144927775459001,roi3p0mm,ER early
HALLMARK_ESTROGEN_RESPONSE_LATE,1941,0.48506271174143401,0.47632870906191499,roi3p0mm,ER late
HALLMARK_ESTROGEN_RESPONSE_EARLY,1941,0.63407066102849996,0.60623491522499195,roi3p5mm,ER early
HALLMARK_ESTROGEN_RESPONSE_LATE,1941,0.485459369206583,0.47644683560179102,roi3p5mm,ER late
HALLMARK_ESTROGEN_RESPONSE_EARLY,1941,0.54790310947680299,0.52653600308334603,ZeroShot,ER early
HALLMARK_ESTROGEN_RESPONSE_LATE,1941,0.47039528381024998,0.47167223926212498,ZeroShot,ER late
