region,pathway,mean_score,n_cells
Bottom-left,ssgsea_HALLMARK_ALLOGRAFT_REJECTION,0.235886926843932,2469
Bottom-left,ssgsea_HALLMARK_APICAL_JUNCTION,0.183623773795885,2469
Bottom-left,ssgsea_HALLMARK_COMPLEMENT,0.172426098210395,2469
Bottom-left,ssgsea_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.171979045939055,2469
Bottom-left,ssgsea_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.160397612476285,2469
Bottom-left,ssgsea_HALLMARK_APOPTOSIS,0.145005219900023,2469
Bottom-left,ssgsea_HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0736789095143438,2469
Bottom-left,ssgsea_HALLMARK_ESTROGEN_RESPONSE_LATE,0.0544105023353772,2469
Bottom-left,ssgsea_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0389758573084347,2469
Bottom-left,ssgsea_HALLMARK_IL2_STAT5_SIGNALING,0.0326775900942834,2469
Bottom-middle,ssgsea_HALLMARK_ALLOGRAFT_REJECTION,0.230659213996037,1818
Bottom-middle,ssgsea_HALLMARK_APICAL_JUNCTION,0.205423928531874,1818
Bottom-middle,ssgsea_HALLMARK_APOPTOSIS,0.162937237350066,1818
Bottom-middle,ssgsea_HALLMARK_COMPLEMENT,0.161599095655951,1818
Bottom-middle,ssgsea_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.156168864797353,1818
Bottom-middle,ssgsea_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.150816214588913,1818
Bottom-middle,ssgsea_HALLMARK_ESTROGEN_RESPONSE_EARLY,0.0853626026128087,1818
Bottom-middle,ssgsea_HALLMARK_ESTROGEN_RESPONSE_LATE,0.0520651669028655,1818
Bottom-middle,ssgsea_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0212418949636345,1818
Bottom-middle,ssgsea_HALLMARK_IL2_STAT5_SIGNALING,0.0193426198776745,1818
Top-left,ssgsea_HALLMARK_ESTROGEN_RESPONSE_EARLY,0.211822030011124,1030
Top-left,ssgsea_HALLMARK_APICAL_JUNCTION,0.190534627740266,1030
Top-left,ssgsea_HALLMARK_APOPTOSIS,0.189453843599421,1030
Top-left,ssgsea_HALLMARK_COMPLEMENT,0.116370572353795,1030
Top-left,ssgsea_HALLMARK_ESTROGEN_RESPONSE_LATE,0.107433989970782,1030
Top-left,ssgsea_HALLMARK_TNFA_SIGNALING_VIA_NFKB,0.101870569040202,1030
Top-left,ssgsea_HALLMARK_ALLOGRAFT_REJECTION,0.0887965832829112,1030
Top-left,ssgsea_HALLMARK_EPITHELIAL_MESENCHYMAL_TRANSITION,0.0761792993409475,1030
Top-left,ssgsea_HALLMARK_INTERFERON_GAMMA_RESPONSE,0.0456064730774562,1030
Top-left,ssgsea_HALLMARK_KRAS_SIGNALING_UP,-0.0429915400752742,1030
